Date,Location,City,SO2 µg/m3,Nox µg/m3,RSPM µg/m3,SPM,AQI
02-01-2025 03:00,Anand Vihar (Delhi),Delhi,8.99,22.43,61.95,39.56,193.6
02-01-2025 04:00,Anand Vihar (Delhi),Delhi,9.66,30.87,82.7,67.07,213.7
02-01-2025 05:00,Anand Vihar (Delhi),Delhi,14.34,43.93,109.52,105.57,374.6
02-01-2025 06:00,Anand Vihar (Delhi),Delhi,11.47,42.69,133.76,84.76,330.0
02-01-2025 07:00,Anand Vihar (Delhi),Delhi,15.73,40.06,150.33,109.38,384.5
02-01-2025 08:00,Anand Vihar (Delhi),Delhi,13.31,41.9,116.21,102.82,380.5
02-01-2025 09:00,Anand Vihar (Delhi),Delhi,16.84,52.67,126.88,101.38,399.7
02-01-2025 10:00,Anand Vihar (Delhi),Delhi,7.81,32.46,78.27,70.57,233.9
02-01-2025 11:00,Anand Vihar (Delhi),Delhi,17.57,36.78,84.81,75.3,302.6
02-01-2025 12:00,Anand Vihar (Delhi),Delhi,11.9,30.04,84.94,60.9,248.6
02-01-2025 13:00,Anand Vihar (Delhi),Delhi,9.22,34.27,104.31,59.89,253.2
02-01-2025 14:00,Anand Vihar (Delhi),Delhi,6.7,26.74,69.02,54.61,193.2
02-01-2025 15:00,Anand Vihar (Delhi),Delhi,14.33,37.56,137.2,87.19,346.7
02-01-2025 16:00,Anand Vihar (Delhi),Delhi,14.72,32.96,130.85,87.71,314.6
02-01-2025 17:00,Anand Vihar (Delhi),Delhi,11.07,32.66,91.88,74.09,261.5
02-01-2025 18:00,Anand Vihar (Delhi),Delhi,16.25,55.35,156.84,103.77,405.8
02-01-2025 19:00,Anand Vihar (Delhi),Delhi,12.11,35.74,128.61,81.53,360.4
02-01-2025 20:00,Anand Vihar (Delhi),Delhi,13.03,33.37,128.77,84.01,352.6
02-01-2025 21:00,Anand Vihar (Delhi),Delhi,12.49,41.16,148.33,90.51,356.9
02-01-2025 22:00,Anand Vihar (Delhi),Delhi,9.58,48.31,133.7,89.39,303.0
02-01-2025 23:00,Anand Vihar (Delhi),Delhi,12.55,39.78,125.29,71.98,313.1
03-01-2025 00:00,Anand Vihar (Delhi),Delhi,7.35,28.21,118.45,63.46,267.2
03-01-2025 01:00,Anand Vihar (Delhi),Delhi,11.51,24.55,109.3,80.61,271.8
03-01-2025 02:00,Anand Vihar (Delhi),Delhi,12.91,22.19,111.71,52.73,240.2
03-01-2025 03:00,Anand Vihar (Delhi),Delhi,6.75,31.02,62.88,35.8,180.5
03-01-2025 04:00,Anand Vihar (Delhi),Delhi,6.99,11.62,43.48,60.42,180.0
03-01-2025 05:00,Anand Vihar (Delhi),Delhi,12.98,37.37,116.68,106.2,330.9
03-01-2025 06:00,Anand Vihar (Delhi),Delhi,13.73,34.72,105.14,80.92,297.8
03-01-2025 07:00,Anand Vihar (Delhi),Delhi,10.55,49.43,116.27,110.76,358.6
03-01-2025 08:00,Anand Vihar (Delhi),Delhi,15.29,47.65,130.94,89.82,378.8
03-01-2025 09:00,Anand Vihar (Delhi),Delhi,16.23,41.06,117.19,86.82,361.5
03-01-2025 10:00,Anand Vihar (Delhi),Delhi,15.6,39.91,119.84,73.08,317.5
03-01-2025 11:00,Anand Vihar (Delhi),Delhi,13.69,34.22,83.36,66.49,314.8
03-01-2025 12:00,Anand Vihar (Delhi),Delhi,12.69,38.86,84.1,60.7,259.1
03-01-2025 13:00,Anand Vihar (Delhi),Delhi,9.46,32.97,74.75,68.49,236.0
03-01-2025 14:00,Anand Vihar (Delhi),Delhi,10.43,24.8,67.09,73.61,218.0
03-01-2025 15:00,Anand Vihar (Delhi),Delhi,9.28,36.35,130.62,68.43,321.6
03-01-2025 16:00,Anand Vihar (Delhi),Delhi,13.77,33.82,108.71,56.84,311.0
03-01-2025 17:00,Anand Vihar (Delhi),Delhi,13.26,45.65,130.64,100.32,347.0
03-01-2025 18:00,Anand Vihar (Delhi),Delhi,13.94,43.41,131.54,96.15,338.4
03-01-2025 19:00,Anand Vihar (Delhi),Delhi,12.15,47.22,87.34,99.91,336.8
03-01-2025 20:00,Anand Vihar (Delhi),Delhi,13.72,37.77,119.38,98.5,343.1
03-01-2025 21:00,Anand Vihar (Delhi),Delhi,16.26,46.26,111.94,87.0,381.8
03-01-2025 22:00,Anand Vihar (Delhi),Delhi,11.75,32.85,109.56,72.45,270.9
03-01-2025 23:00,Anand Vihar (Delhi),Delhi,15.96,36.25,93.33,89.89,285.2
04-01-2025 00:00,Anand Vihar (Delhi),Delhi,16.69,38.62,128.9,67.08,326.4
04-01-2025 01:00,Anand Vihar (Delhi),Delhi,12.14,30.6,124.5,59.76,311.4
04-01-2025 02:00,Anand Vihar (Delhi),Delhi,7.03,21.78,69.76,46.85,157.7
04-01-2025 03:00,Anand Vihar (Delhi),Delhi,12.59,32.91,96.8,67.11,279.7
04-01-2025 04:00,Anand Vihar (Delhi),Delhi,7.29,30.17,81.73,62.06,237.2
04-01-2025 05:00,Anand Vihar (Delhi),Delhi,6.83,30.68,101.01,72.76,293.3
04-01-2025 06:00,Anand Vihar (Delhi),Delhi,12.31,42.69,107.08,70.01,292.6
04-01-2025 07:00,Anand Vihar (Delhi),Delhi,9.12,38.25,119.67,89.53,296.5
04-01-2025 08:00,Anand Vihar (Delhi),Delhi,12.36,40.12,144.19,82.2,324.2
04-01-2025 09:00,Anand Vihar (Delhi),Delhi,16.73,54.95,158.85,104.13,409.9
04-01-2025 10:00,Anand Vihar (Delhi),Delhi,9.32,37.02,99.44,57.29,246.5
04-01-2025 11:00,Anand Vihar (Delhi),Delhi,7.37,39.73,108.11,66.35,270.9
04-01-2025 12:00,Anand Vihar (Delhi),Delhi,7.28,32.42,121.67,82.42,290.4
04-01-2025 13:00,Anand Vihar (Delhi),Delhi,9.51,32.6,79.25,42.97,238.5
04-01-2025 14:00,Anand Vihar (Delhi),Delhi,9.86,32.78,57.61,55.36,226.4
04-01-2025 15:00,Anand Vihar (Delhi),Delhi,9.02,36.1,109.39,67.22,280.5
04-01-2025 16:00,Anand Vihar (Delhi),Delhi,13.65,40.63,117.89,81.15,357.2
04-01-2025 17:00,Anand Vihar (Delhi),Delhi,7.66,30.61,92.95,42.95,263.1
04-01-2025 18:00,Anand Vihar (Delhi),Delhi,14.1,44.62,140.7,96.1,350.4
04-01-2025 19:00,Anand Vihar (Delhi),Delhi,11.8,42.7,107.88,70.64,331.7
04-01-2025 20:00,Anand Vihar (Delhi),Delhi,16.96,49.61,120.94,118.39,439.5
04-01-2025 21:00,Anand Vihar (Delhi),Delhi,12.8,43.06,96.88,80.41,318.5
04-01-2025 22:00,Anand Vihar (Delhi),Delhi,8.61,36.52,104.76,82.65,338.1
04-01-2025 23:00,Anand Vihar (Delhi),Delhi,9.14,30.51,86.93,66.87,281.5
05-01-2025 00:00,Anand Vihar (Delhi),Delhi,13.46,40.21,111.68,64.03,291.1
05-01-2025 01:00,Anand Vihar (Delhi),Delhi,16.07,39.05,92.48,86.6,283.1
05-01-2025 02:00,Anand Vihar (Delhi),Delhi,7.17,32.49,54.77,34.01,212.6
05-01-2025 03:00,Anand Vihar (Delhi),Delhi,10.47,31.89,85.74,62.73,260.5
05-01-2025 04:00,Anand Vihar (Delhi),Delhi,7.15,23.3,67.33,44.24,210.1
05-01-2025 05:00,Anand Vihar (Delhi),Delhi,5.54,35.05,98.11,65.05,263.6
05-01-2025 06:00,Anand Vihar (Delhi),Delhi,12.22,31.39,94.13,78.22,291.8
05-01-2025 07:00,Anand Vihar (Delhi),Delhi,18.55,51.48,140.52,82.76,361.5
05-01-2025 08:00,Anand Vihar (Delhi),Delhi,11.34,41.44,75.68,78.84,333.7
05-01-2025 09:00,Anand Vihar (Delhi),Delhi,10.67,45.15,102.96,88.42,343.0
05-01-2025 10:00,Anand Vihar (Delhi),Delhi,12.12,45.27,128.09,89.84,383.4
05-01-2025 11:00,Anand Vihar (Delhi),Delhi,14.64,41.13,97.86,101.99,310.6
05-01-2025 12:00,Anand Vihar (Delhi),Delhi,6.71,27.19,78.16,59.75,219.5
05-01-2025 13:00,Anand Vihar (Delhi),Delhi,11.1,34.58,90.29,76.75,283.5
05-01-2025 14:00,Anand Vihar (Delhi),Delhi,7.97,28.53,90.81,31.7,215.1
05-01-2025 15:00,Anand Vihar (Delhi),Delhi,11.31,40.28,99.92,87.06,296.2
05-01-2025 16:00,Anand Vihar (Delhi),Delhi,5.89,36.32,77.95,48.92,258.9
05-01-2025 17:00,Anand Vihar (Delhi),Delhi,10.87,38.17,112.72,71.91,283.8
05-01-2025 18:00,Anand Vihar (Delhi),Delhi,13.46,39.49,121.3,71.8,322.2
05-01-2025 19:00,Anand Vihar (Delhi),Delhi,14.6,46.99,133.35,85.72,339.6
05-01-2025 20:00,Anand Vihar (Delhi),Delhi,14.27,34.92,105.51,99.22,336.5
05-01-2025 21:00,Anand Vihar (Delhi),Delhi,14.05,48.37,148.28,87.68,368.5
05-01-2025 22:00,Anand Vihar (Delhi),Delhi,9.61,36.96,108.35,80.82,267.8
05-01-2025 23:00,Anand Vihar (Delhi),Delhi,9.52,39.75,95.96,74.75,319.5
06-01-2025 00:00,Anand Vihar (Delhi),Delhi,13.25,30.27,66.41,74.15,289.4
06-01-2025 01:00,Anand Vihar (Delhi),Delhi,14.73,45.64,159.17,100.5,378.4
06-01-2025 02:00,Anand Vihar (Delhi),Delhi,10.26,29.38,64.94,45.18,234.4
06-01-2025 03:00,Anand Vihar (Delhi),Delhi,12.15,35.84,101.72,81.44,294.5
06-01-2025 04:00,Anand Vihar (Delhi),Delhi,13.77,35.22,109.29,90.2,318.0
06-01-2025 05:00,Anand Vihar (Delhi),Delhi,12.19,19.87,88.34,71.84,262.2
06-01-2025 06:00,Anand Vihar (Delhi),Delhi,11.52,31.96,111.22,70.98,328.9
06-01-2025 07:00,Anand Vihar (Delhi),Delhi,13.93,35.24,134.1,85.59,348.7
06-01-2025 08:00,Anand Vihar (Delhi),Delhi,12.03,42.07,145.27,90.24,392.9
06-01-2025 09:00,Anand Vihar (Delhi),Delhi,13.93,42.56,111.67,88.52,348.1
06-01-2025 10:00,Anand Vihar (Delhi),Delhi,11.55,30.03,91.59,89.46,255.1
06-01-2025 11:00,Anand Vihar (Delhi),Delhi,12.51,15.91,54.0,48.44,243.4
06-01-2025 12:00,Anand Vihar (Delhi),Delhi,10.04,30.35,80.47,58.71,240.8
06-01-2025 13:00,Anand Vihar (Delhi),Delhi,11.49,22.84,80.52,60.7,245.6
06-01-2025 14:00,Anand Vihar (Delhi),Delhi,8.22,28.84,85.87,53.97,244.0
06-01-2025 15:00,Anand Vihar (Delhi),Delhi,10.48,30.19,97.46,53.72,257.0
06-01-2025 16:00,Anand Vihar (Delhi),Delhi,10.37,36.54,80.6,70.0,270.6
06-01-2025 17:00,Anand Vihar (Delhi),Delhi,14.99,30.04,92.45,63.71,292.3
06-01-2025 18:00,Anand Vihar (Delhi),Delhi,15.29,29.06,90.63,86.64,293.9
06-01-2025 19:00,Anand Vihar (Delhi),Delhi,13.15,27.84,120.52,51.03,290.9
06-01-2025 20:00,Anand Vihar (Delhi),Delhi,10.55,39.77,101.35,69.37,290.9
06-01-2025 21:00,Anand Vihar (Delhi),Delhi,20.41,51.66,131.53,96.44,402.5
06-01-2025 22:00,Anand Vihar (Delhi),Delhi,9.68,20.27,91.17,79.27,236.8
06-01-2025 23:00,Anand Vihar (Delhi),Delhi,11.42,39.72,132.48,92.97,309.1
07-01-2025 00:00,Anand Vihar (Delhi),Delhi,10.9,28.86,98.58,65.61,247.1
07-01-2025 01:00,Anand Vihar (Delhi),Delhi,7.22,24.74,47.75,55.29,197.9
07-01-2025 02:00,Anand Vihar (Delhi),Delhi,5.27,27.31,46.84,48.67,171.7
07-01-2025 03:00,Anand Vihar (Delhi),Delhi,10.7,18.09,58.64,42.65,163.4
07-01-2025 04:00,Anand Vihar (Delhi),Delhi,6.9,29.79,77.08,45.22,248.5
07-01-2025 05:00,Anand Vihar (Delhi),Delhi,12.05,39.46,114.26,76.34,318.8
07-01-2025 06:00,Anand Vihar (Delhi),Delhi,14.08,34.73,118.01,93.58,354.3
07-01-2025 07:00,Anand Vihar (Delhi),Delhi,12.75,49.43,104.18,104.74,373.2
07-01-2025 08:00,Anand Vihar (Delhi),Delhi,11.81,42.11,109.08,84.8,306.5
07-01-2025 09:00,Anand Vihar (Delhi),Delhi,17.62,50.47,124.9,100.4,376.3
07-01-2025 10:00,Anand Vihar (Delhi),Delhi,9.01,31.48,81.9,61.53,228.3
07-01-2025 11:00,Anand Vihar (Delhi),Delhi,13.28,32.66,89.46,77.75,275.5
07-01-2025 12:00,Anand Vihar (Delhi),Delhi,10.31,22.7,100.59,55.55,232.6
07-01-2025 13:00,Anand Vihar (Delhi),Delhi,10.08,18.12,71.24,68.29,231.4
07-01-2025 14:00,Anand Vihar (Delhi),Delhi,10.88,24.19,99.02,71.59,257.8
07-01-2025 15:00,Anand Vihar (Delhi),Delhi,13.84,30.77,92.07,46.38,284.9
07-01-2025 16:00,Anand Vihar (Delhi),Delhi,13.28,29.55,84.34,70.36,316.3
07-01-2025 17:00,Anand Vihar (Delhi),Delhi,11.87,33.39,94.04,67.44,311.8
07-01-2025 18:00,Anand Vihar (Delhi),Delhi,8.96,28.78,109.79,69.45,284.4
07-01-2025 19:00,Anand Vihar (Delhi),Delhi,17.59,35.6,131.01,97.29,324.3
07-01-2025 20:00,Anand Vihar (Delhi),Delhi,12.05,33.11,95.14,79.93,297.5
07-01-2025 21:00,Anand Vihar (Delhi),Delhi,12.27,38.95,110.46,71.17,331.6
07-01-2025 22:00,Anand Vihar (Delhi),Delhi,14.57,39.14,103.51,70.92,311.9
07-01-2025 23:00,Anand Vihar (Delhi),Delhi,15.03,35.64,77.66,66.12,257.9
08-01-2025 00:00,Anand Vihar (Delhi),Delhi,11.97,35.14,110.81,59.04,270.2
08-01-2025 01:00,Anand Vihar (Delhi),Delhi,7.98,28.15,113.71,62.24,287.0
08-01-2025 02:00,Anand Vihar (Delhi),Delhi,7.84,27.03,52.79,14.27,196.3
08-01-2025 03:00,Anand Vihar (Delhi),Delhi,10.22,25.15,88.2,37.49,195.3
08-01-2025 04:00,Anand Vihar (Delhi),Delhi,7.63,21.31,63.23,51.22,167.6
08-01-2025 05:00,Anand Vihar (Delhi),Delhi,12.75,39.38,111.98,83.18,298.4
08-01-2025 06:00,Anand Vihar (Delhi),Delhi,15.84,35.1,119.04,76.18,319.5
08-01-2025 07:00,Anand Vihar (Delhi),Delhi,11.58,41.36,119.68,85.01,324.0
08-01-2025 08:00,Anand Vihar (Delhi),Delhi,13.84,45.6,98.73,86.72,345.9
08-01-2025 09:00,Anand Vihar (Delhi),Delhi,15.8,36.12,147.47,91.45,357.3
08-01-2025 10:00,Anand Vihar (Delhi),Delhi,10.91,37.83,103.21,85.29,292.8
08-01-2025 11:00,Anand Vihar (Delhi),Delhi,9.6,29.8,78.17,53.79,231.3
08-01-2025 12:00,Anand Vihar (Delhi),Delhi,11.16,23.37,109.03,62.74,270.2
08-01-2025 13:00,Anand Vihar (Delhi),Delhi,9.98,25.11,78.95,37.44,231.2
08-01-2025 14:00,Anand Vihar (Delhi),Delhi,12.28,21.85,82.43,50.94,252.9
08-01-2025 15:00,Anand Vihar (Delhi),Delhi,12.37,38.16,113.72,82.31,276.8
08-01-2025 16:00,Anand Vihar (Delhi),Delhi,8.71,32.45,105.82,56.53,275.2
08-01-2025 17:00,Anand Vihar (Delhi),Delhi,15.52,40.13,109.38,79.06,343.0
08-01-2025 18:00,Anand Vihar (Delhi),Delhi,13.81,47.56,119.7,94.23,356.7
08-01-2025 19:00,Anand Vihar (Delhi),Delhi,14.66,41.21,134.16,95.47,353.0
08-01-2025 20:00,Anand Vihar (Delhi),Delhi,16.04,39.75,134.55,105.14,370.6
08-01-2025 21:00,Anand Vihar (Delhi),Delhi,12.81,44.36,135.73,85.36,371.7
08-01-2025 22:00,Anand Vihar (Delhi),Delhi,8.74,24.41,81.8,42.67,234.3
08-01-2025 23:00,Anand Vihar (Delhi),Delhi,10.87,41.41,102.09,75.63,303.6
09-01-2025 00:00,Anand Vihar (Delhi),Delhi,9.7,45.6,89.51,79.48,277.0
09-01-2025 01:00,Anand Vihar (Delhi),Delhi,10.5,31.66,84.99,55.25,243.9
09-01-2025 02:00,Anand Vihar (Delhi),Delhi,7.88,38.06,75.65,59.52,217.1
09-01-2025 03:00,Anand Vihar (Delhi),Delhi,9.88,35.07,97.71,71.82,290.7
09-01-2025 04:00,Anand Vihar (Delhi),Delhi,7.34,27.39,61.11,64.92,220.1
09-01-2025 05:00,Anand Vihar (Delhi),Delhi,11.24,34.45,111.11,68.43,305.7
09-01-2025 06:00,Anand Vihar (Delhi),Delhi,14.65,43.78,132.18,81.32,348.5
09-01-2025 07:00,Anand Vihar (Delhi),Delhi,15.96,51.94,134.66,111.48,393.2
09-01-2025 08:00,Anand Vihar (Delhi),Delhi,19.1,42.37,132.04,81.8,368.5
09-01-2025 09:00,Anand Vihar (Delhi),Delhi,14.64,45.84,161.72,82.78,335.0
09-01-2025 10:00,Anand Vihar (Delhi),Delhi,11.49,24.32,95.83,57.38,249.6
09-01-2025 11:00,Anand Vihar (Delhi),Delhi,13.82,34.35,115.79,81.44,290.8
09-01-2025 12:00,Anand Vihar (Delhi),Delhi,6.84,18.12,105.66,52.97,216.1
09-01-2025 13:00,Anand Vihar (Delhi),Delhi,8.36,32.02,113.75,74.46,290.7
09-01-2025 14:00,Anand Vihar (Delhi),Delhi,7.32,36.38,97.67,65.46,245.8
09-01-2025 15:00,Anand Vihar (Delhi),Delhi,10.99,29.57,65.73,64.13,258.5
09-01-2025 16:00,Anand Vihar (Delhi),Delhi,13.23,22.14,100.68,57.84,277.6
09-01-2025 17:00,Anand Vihar (Delhi),Delhi,12.54,34.93,115.26,61.22,294.7
09-01-2025 18:00,Anand Vihar (Delhi),Delhi,14.34,39.49,133.78,77.53,393.9
09-01-2025 19:00,Anand Vihar (Delhi),Delhi,14.01,49.75,136.85,76.87,363.2
09-01-2025 20:00,Anand Vihar (Delhi),Delhi,14.0,43.1,131.68,93.11,323.8
09-01-2025 21:00,Anand Vihar (Delhi),Delhi,14.76,48.59,118.23,91.5,350.8
09-01-2025 22:00,Anand Vihar (Delhi),Delhi,9.76,32.82,84.7,66.55,271.5
09-01-2025 23:00,Anand Vihar (Delhi),Delhi,9.46,31.76,77.26,61.58,246.0
10-01-2025 00:00,Anand Vihar (Delhi),Delhi,12.43,33.92,117.17,51.05,288.2
10-01-2025 01:00,Anand Vihar (Delhi),Delhi,13.82,48.69,122.07,103.69,389.0
10-01-2025 02:00,Anand Vihar (Delhi),Delhi,8.16,33.75,80.33,64.61,236.5
10-01-2025 03:00,Anand Vihar (Delhi),Delhi,7.68,33.24,82.19,51.47,193.6
10-01-2025 04:00,Anand Vihar (Delhi),Delhi,8.55,26.24,80.38,41.84,210.4
10-01-2025 05:00,Anand Vihar (Delhi),Delhi,10.11,45.03,95.98,79.79,307.3
10-01-2025 06:00,Anand Vihar (Delhi),Delhi,12.27,40.03,133.32,85.5,319.4
10-01-2025 07:00,Anand Vihar (Delhi),Delhi,11.3,39.35,144.09,97.41,366.8
10-01-2025 08:00,Anand Vihar (Delhi),Delhi,16.47,52.05,129.08,96.21,380.0
10-01-2025 09:00,Anand Vihar (Delhi),Delhi,10.12,29.82,97.67,94.77,317.0
10-01-2025 10:00,Anand Vihar (Delhi),Delhi,8.49,20.81,70.55,58.53,227.3
10-01-2025 11:00,Anand Vihar (Delhi),Delhi,12.5,38.63,56.57,57.67,258.0
10-01-2025 12:00,Anand Vihar (Delhi),Delhi,13.67,31.97,99.57,59.77,285.4
10-01-2025 13:00,Anand Vihar (Delhi),Delhi,9.75,11.45,94.92,50.1,171.4
10-01-2025 14:00,Anand Vihar (Delhi),Delhi,11.19,28.86,93.75,60.88,251.1
10-01-2025 15:00,Anand Vihar (Delhi),Delhi,12.06,31.62,93.04,65.94,303.1
10-01-2025 16:00,Anand Vihar (Delhi),Delhi,11.49,28.62,117.31,94.69,318.2
10-01-2025 17:00,Anand Vihar (Delhi),Delhi,11.24,29.39,106.85,76.17,311.1
10-01-2025 18:00,Anand Vihar (Delhi),Delhi,13.87,47.53,115.03,81.39,319.1
10-01-2025 19:00,Anand Vihar (Delhi),Delhi,15.61,38.06,103.42,80.71,320.3
10-01-2025 20:00,Anand Vihar (Delhi),Delhi,15.12,50.55,135.62,89.92,371.0
10-01-2025 21:00,Anand Vihar (Delhi),Delhi,15.74,37.73,146.21,89.11,368.5
10-01-2025 22:00,Anand Vihar (Delhi),Delhi,12.44,36.53,85.15,76.36,273.3
10-01-2025 23:00,Anand Vihar (Delhi),Delhi,14.16,27.42,95.66,57.94,263.0
11-01-2025 00:00,Anand Vihar (Delhi),Delhi,12.05,46.21,116.11,87.27,363.2
11-01-2025 01:00,Anand Vihar (Delhi),Delhi,14.43,44.06,81.79,77.57,299.6
11-01-2025 02:00,Anand Vihar (Delhi),Delhi,7.79,35.07,97.66,73.93,279.1
11-01-2025 03:00,Anand Vihar (Delhi),Delhi,5.08,14.29,84.22,60.73,198.8
11-01-2025 04:00,Anand Vihar (Delhi),Delhi,8.43,20.38,91.57,48.36,237.5
11-01-2025 05:00,Anand Vihar (Delhi),Delhi,9.13,29.93,78.78,64.74,257.6
11-01-2025 06:00,Anand Vihar (Delhi),Delhi,11.84,36.46,92.92,69.84,260.8
11-01-2025 07:00,Anand Vihar (Delhi),Delhi,14.87,45.47,161.02,127.03,430.3
11-01-2025 08:00,Anand Vihar (Delhi),Delhi,17.24,41.84,110.41,76.26,344.7
11-01-2025 09:00,Anand Vihar (Delhi),Delhi,13.24,45.61,155.59,91.1,376.7
11-01-2025 10:00,Anand Vihar (Delhi),Delhi,10.79,36.99,94.58,83.36,330.5
11-01-2025 11:00,Anand Vihar (Delhi),Delhi,12.6,43.49,97.72,80.08,311.3
11-01-2025 12:00,Anand Vihar (Delhi),Delhi,11.29,34.23,101.22,55.35,264.2
11-01-2025 13:00,Anand Vihar (Delhi),Delhi,6.37,22.15,69.4,55.72,194.5
11-01-2025 14:00,Anand Vihar (Delhi),Delhi,4.64,34.3,51.64,57.37,196.0
11-01-2025 15:00,Anand Vihar (Delhi),Delhi,11.88,34.11,93.75,75.73,284.3
11-01-2025 16:00,Anand Vihar (Delhi),Delhi,13.03,34.93,102.6,61.79,267.4
11-01-2025 17:00,Anand Vihar (Delhi),Delhi,8.61,31.2,80.6,81.81,274.7
11-01-2025 18:00,Anand Vihar (Delhi),Delhi,14.57,41.58,127.51,113.61,355.8
11-01-2025 19:00,Anand Vihar (Delhi),Delhi,12.43,43.84,82.24,86.45,343.2
11-01-2025 20:00,Anand Vihar (Delhi),Delhi,11.64,43.42,120.04,67.14,340.6
11-01-2025 21:00,Anand Vihar (Delhi),Delhi,7.45,41.16,120.01,74.76,330.8
11-01-2025 22:00,Anand Vihar (Delhi),Delhi,9.54,31.49,112.19,68.78,302.7
11-01-2025 23:00,Anand Vihar (Delhi),Delhi,10.11,31.66,92.83,63.17,281.0
12-01-2025 00:00,Anand Vihar (Delhi),Delhi,10.51,35.37,92.01,58.18,294.1
12-01-2025 01:00,Anand Vihar (Delhi),Delhi,13.64,49.37,94.97,76.93,316.1
12-01-2025 02:00,Anand Vihar (Delhi),Delhi,10.86,24.1,60.12,67.57,222.0
12-01-2025 03:00,Anand Vihar (Delhi),Delhi,10.36,29.63,74.86,52.05,215.2
12-01-2025 04:00,Anand Vihar (Delhi),Delhi,8.47,29.81,62.42,54.21,212.5
12-01-2025 05:00,Anand Vihar (Delhi),Delhi,7.73,29.0,55.63,81.34,243.0
12-01-2025 06:00,Anand Vihar (Delhi),Delhi,9.53,34.67,71.15,37.04,240.3
12-01-2025 07:00,Anand Vihar (Delhi),Delhi,11.77,29.18,122.58,86.57,338.0
12-01-2025 08:00,Anand Vihar (Delhi),Delhi,13.56,39.42,132.2,97.9,395.2
12-01-2025 09:00,Anand Vihar (Delhi),Delhi,18.31,52.54,139.67,104.79,387.2
12-01-2025 10:00,Anand Vihar (Delhi),Delhi,10.74,25.26,92.0,65.93,260.2
12-01-2025 11:00,Anand Vihar (Delhi),Delhi,13.35,41.88,124.38,81.76,345.2
12-01-2025 12:00,Anand Vihar (Delhi),Delhi,12.77,25.62,69.1,70.39,254.3
12-01-2025 13:00,Anand Vihar (Delhi),Delhi,9.83,30.01,98.13,59.99,268.3
12-01-2025 14:00,Anand Vihar (Delhi),Delhi,9.7,26.85,89.12,37.08,198.4
12-01-2025 15:00,Anand Vihar (Delhi),Delhi,11.17,27.19,102.42,78.53,265.1
12-01-2025 16:00,Anand Vihar (Delhi),Delhi,10.57,38.74,118.77,73.01,262.2
12-01-2025 17:00,Anand Vihar (Delhi),Delhi,10.48,38.35,114.96,74.04,304.6
12-01-2025 18:00,Anand Vihar (Delhi),Delhi,10.74,31.23,87.2,88.95,332.6
